"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Slovenia (SI)","Generation - Solar  [MW] Current / Slovenia (SI)","Generation - Wind Offshore  [MW] Day Ahead/ Slovenia (SI)","Generation - Wind Offshore  [MW] Current / Slovenia (SI)","Generation - Wind Onshore  [MW] Day Ahead/ Slovenia (SI)","Generation - Wind Onshore  [MW] Current / Slovenia (SI)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","6","5","n/e","n/e","n/e","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","19","16","n/e","n/e","n/e","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","31","29","n/e","n/e","n/e","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","38","36","n/e","n/e","n/e","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","38","37","n/e","n/e","n/e","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","29","34","n/e","n/e","n/e","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","17","21","n/e","n/e","n/e","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","5","6","n/e","n/e","n/e","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","n/e","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","n/e","n/e"
